DATE,USA_BOT,USA_BC,USA_CPI,USA_EXPX,USA_IMPX,USA_CPIC,USA_NFIB
2010-06-21,-40514.6363636,58.3,217.325954545,122.909090909,127.018181818,2.06363636364,91.6909090909
2010-06-22,-40564.5454545,58.3,217.320818182,122.936363636,126.972727273,2.05454545455,91.7636363636
2010-06-23,-40614.4545455,58.3,217.315681818,122.963636364,126.927272727,2.04545454545,91.8363636364
2010-06-24,-40664.3636364,58.3,217.310545455,122.990909091,126.881818182,2.03636363636,91.9090909091
2010-06-25,-40714.2727273,58.3,217.305409091,123.018181818,126.836363636,2.02727272727,91.9818181818
2010-06-28,-40764.1818182,58.3,217.300272727,123.045454545,126.790909091,2.01818181818,92.0545454545
2010-06-29,-40814.0909091,58.3,217.295136364,123.072727273,126.745454545,2.00909090909,92.1272727273
2010-06-30,-40864.0,58.3,217.29,123.1,126.7,2.0,92.2
2010-07-01,-40884.3913043,58.2,217.286043478,123.060869565,126.634782609,1.96086956522,92.0608695652
2010-07-02,-40904.7826087,58.1,217.282086957,123.02173913,126.569565217,1.92173913043,91.9217391304
2010-07-05,-40925.173913,58.0,217.278130435,122.982608696,126.504347826,1.88260869565,91.7826086957
2010-07-06,-40945.5652174,57.9,217.274173913,122.943478261,126.439130435,1.84347826087,91.6434782609
2010-07-07,-40965.9565217,57.8,217.270217391,122.904347826,126.373913043,1.80434782609,91.5043478261
2010-07-08,-40986.3478261,57.7,217.26626087,122.865217391,126.308695652,1.7652173913,91.3652173913
2010-07-09,-41006.7391304,57.6,217.262304348,122.826086957,126.243478261,1.72608695652,91.2260869565
2010-07-12,-41027.1304348,57.5,217.258347826,122.786956522,126.17826087,1.68695652174,91.0869565217
2010-07-13,-41047.5217391,57.4,217.254391304,122.747826087,126.113043478,1.64782608696,90.947826087
2010-07-14,-41067.9130435,57.3,217.250434783,122.708695652,126.047826087,1.60869565217,90.8086956522
2010-07-15,-41088.3043478,57.2,217.246478261,122.669565217,125.982608696,1.56956521739,90.6695652174
2010-07-16,-41108.6956522,57.1,217.242521739,122.630434783,125.917391304,1.53043478261,90.5304347826
2010-07-19,-41129.0869565,57.0,217.238565217,122.591304348,125.852173913,1.49130434783,90.3913043478
2010-07-20,-41149.4782609,56.9,217.234608696,122.552173913,125.786956522,1.45217391304,90.252173913
2010-07-21,-41169.8695652,56.8,217.230652174,122.513043478,125.72173913,1.41304347826,90.1130434783
2010-07-22,-41190.2608696,56.7,217.226695652,122.473913043,125.656521739,1.37391304348,89.9739130435
2010-07-23,-41210.6521739,56.6,217.22273913,122.434782609,125.591304348,1.3347826087,89.8347826087
2010-07-26,-41231.0434783,56.5,217.218782609,122.395652174,125.526086957,1.29565217391,89.6956521739
2010-07-27,-41251.4347826,56.4,217.214826087,122.356521739,125.460869565,1.25652173913,89.5565217391
2010-07-28,-41271.826087,56.3,217.210869565,122.317391304,125.395652174,1.21739130435,89.4173913043
2010-07-29,-41292.2173913,56.2,217.206913043,122.27826087,125.330434783,1.17826086957,89.2782608696
2010-07-30,-41312.6086957,56.1,217.202956522,122.239130435,125.265217391,1.13913043478,89.1391304348
2010-08-02,-41333.0,56.0,217.199,122.2,125.2,1.1,89.0
2010-08-03,-41581.7619048,55.9857142857,217.218333333,122.19047619,125.2,1.10476190476,88.9571428571
2010-08-04,-41830.5238095,55.9714285714,217.237666667,122.180952381,125.2,1.10952380952,88.9142857143
2010-08-05,-42079.2857143,55.9571428571,217.257,122.171428571,125.2,1.11428571429,88.8714285714
2010-08-06,-42328.047619,55.9428571429,217.276333333,122.161904762,125.2,1.11904761905,88.8285714286
2010-08-09,-42576.8095238,55.9285714286,217.295666667,122.152380952,125.2,1.12380952381,88.7857142857
2010-08-10,-42825.5714286,55.9142857143,217.315,122.142857143,125.2,1.12857142857,88.7428571429
2010-08-11,-43074.3333333,55.9,217.334333333,122.133333333,125.2,1.13333333333,88.7
2010-08-12,-43323.0952381,55.8857142857,217.353666667,122.123809524,125.2,1.1380952381,88.6571428571
2010-08-13,-43571.8571429,55.8714285714,217.373,122.114285714,125.2,1.14285714286,88.6142857143
2010-08-16,-43820.6190476,55.8571428571,217.392333333,122.104761905,125.2,1.14761904762,88.5714285714
2010-08-17,-44069.3809524,55.8428571429,217.411666667,122.095238095,125.2,1.15238095238,88.5285714286
2010-08-18,-44318.1428571,55.8285714286,217.431,122.085714286,125.2,1.15714285714,88.4857142857
2010-08-19,-44566.9047619,55.8142857143,217.450333333,122.076190476,125.2,1.1619047619,88.4428571429
2010-08-20,-44815.6666667,55.8,217.469666667,122.066666667,125.2,1.16666666667,88.4
2010-08-23,-45064.4285714,55.7857142857,217.489,122.057142857,125.2,1.17142857143,88.3571428571
2010-08-24,-45313.1904762,55.7714285714,217.508333333,122.047619048,125.2,1.17619047619,88.3142857143
2010-08-25,-45561.952381,55.7571428571,217.527666667,122.038095238,125.2,1.18095238095,88.2714285714
2010-08-26,-45810.7142857,55.7428571429,217.547,122.028571429,125.2,1.18571428571,88.2285714286
2010-08-27,-46059.4761905,55.7285714286,217.566333333,122.019047619,125.2,1.19047619048,88.1857142857
2010-08-30,-46308.2380952,55.7142857143,217.585666667,122.00952381,125.2,1.19523809524,88.1428571429
2010-08-31,-46557.0,55.7,217.605,122.0,125.2,1.2,88.1
2010-09-01,-46277.7272727,55.7681818182,217.619454545,122.045454545,125.222727273,1.19545454545,88.1318181818
2010-09-02,-45998.4545455,55.8363636364,217.633909091,122.090909091,125.245454545,1.19090909091,88.1636363636
2010-09-03,-45719.1818182,55.9045454545,217.648363636,122.136363636,125.268181818,1.18636363636,88.1954545455
2010-09-06,-45439.9090909,55.9727272727,217.662818182,122.181818182,125.290909091,1.18181818182,88.2272727273
2010-09-07,-45160.6363636,56.0409090909,217.677272727,122.227272727,125.313636364,1.17727272727,88.2590909091
2010-09-08,-44881.3636364,56.1090909091,217.691727273,122.272727273,125.336363636,1.17272727273,88.2909090909
2010-09-09,-44602.0909091,56.1772727273,217.706181818,122.318181818,125.359090909,1.16818181818,88.3227272727
2010-09-10,-44322.8181818,56.2454545455,217.720636364,122.363636364,125.381818182,1.16363636364,88.3545454545
2010-09-13,-44043.5454545,56.3136363636,217.735090909,122.409090909,125.404545455,1.15909090909,88.3863636364
2010-09-14,-43764.2727273,56.3818181818,217.749545455,122.454545455,125.427272727,1.15454545455,88.4181818182
2010-09-15,-43485.0,56.45,217.764,122.5,125.45,1.15,88.45
2010-09-16,-43205.7272727,56.5181818182,217.778454545,122.545454545,125.472727273,1.14545454545,88.4818181818
2010-09-17,-42926.4545455,56.5863636364,217.792909091,122.590909091,125.495454545,1.14090909091,88.5136363636
2010-09-20,-42647.1818182,56.6545454545,217.807363636,122.636363636,125.518181818,1.13636363636,88.5454545455
2010-09-21,-42367.9090909,56.7227272727,217.821818182,122.681818182,125.540909091,1.13181818182,88.5772727273
2010-09-22,-42088.6363636,56.7909090909,217.836272727,122.727272727,125.563636364,1.12727272727,88.6090909091
2010-09-23,-41809.3636364,56.8590909091,217.850727273,122.772727273,125.586363636,1.12272727273,88.6409090909
2010-09-24,-41530.0909091,56.9272727273,217.865181818,122.818181818,125.609090909,1.11818181818,88.6727272727
2010-09-27,-41250.8181818,56.9954545455,217.879636364,122.863636364,125.631818182,1.11363636364,88.7045454545
2010-09-28,-40971.5454545,57.0636363636,217.894090909,122.909090909,125.654545455,1.10909090909,88.7363636364
2010-09-29,-40692.2727273,57.1318181818,217.908545455,122.954545455,125.677272727,1.10454545455,88.7681818182
2010-09-30,-40413.0,57.2,217.923,123.0,125.7,1.1,88.8
2010-10-01,-40617.9090909,57.1681818182,217.939,123.031818182,125.7,1.1,88.8090909091
2010-10-04,-40822.8181818,57.1363636364,217.955,123.063636364,125.7,1.1,88.8181818182
2010-10-05,-41027.7272727,57.1045454545,217.971,123.095454545,125.7,1.1,88.8272727273
2010-10-06,-41232.6363636,57.0727272727,217.987,123.127272727,125.7,1.1,88.8363636364
2010-10-07,-41437.5454545,57.0409090909,218.003,123.159090909,125.7,1.1,88.8454545455
2010-10-08,-41642.4545455,57.0090909091,218.019,123.190909091,125.7,1.1,88.8545454545
2010-10-11,-41847.3636364,56.9772727273,218.035,123.222727273,125.7,1.1,88.8636363636
2010-10-12,-42052.2727273,56.9454545455,218.051,123.254545455,125.7,1.1,88.8727272727
2010-10-13,-42257.1818182,56.9136363636,218.067,123.286363636,125.7,1.1,88.8818181818
2010-10-14,-42462.0909091,56.8818181818,218.083,123.318181818,125.7,1.1,88.8909090909
2010-10-15,-42667.0,56.85,218.099,123.35,125.7,1.1,88.9
2010-10-18,-42871.9090909,56.8181818182,218.115,123.381818182,125.7,1.1,88.9090909091
2010-10-19,-43076.8181818,56.7863636364,218.131,123.413636364,125.7,1.1,88.9181818182
2010-10-20,-43281.7272727,56.7545454545,218.147,123.445454545,125.7,1.1,88.9272727273
2010-10-21,-43486.6363636,56.7227272727,218.163,123.477272727,125.7,1.1,88.9363636364
2010-10-22,-43691.5454545,56.6909090909,218.179,123.509090909,125.7,1.1,88.9454545455
2010-10-25,-43896.4545455,56.6590909091,218.195,123.540909091,125.7,1.1,88.9545454545
2010-10-26,-44101.3636364,56.6272727273,218.211,123.572727273,125.7,1.1,88.9636363636
2010-10-27,-44306.2727273,56.5954545455,218.227,123.604545455,125.7,1.1,88.9727272727
2010-10-28,-44511.1818182,56.5636363636,218.243,123.636363636,125.7,1.1,88.9818181818
2010-10-29,-44716.0909091,56.5318181818,218.259,123.668181818,125.7,1.1,88.9909090909
2010-11-01,-44921.0,56.5,218.275,123.7,125.7,1.1,89.0
2010-11-02,-44879.1428571,56.5666666667,218.311190476,123.747619048,125.766666667,1.10476190476,89.1285714286
2010-11-03,-44837.2857143,56.6333333333,218.347380952,123.795238095,125.833333333,1.10952380952,89.2571428571
2010-11-04,-44795.4285714,56.7,218.383571429,123.842857143,125.9,1.11428571429,89.3857142857
2010-11-05,-44753.5714286,56.7666666667,218.419761905,123.89047619,125.966666667,1.11904761905,89.5142857143
2010-11-08,-44711.7142857,56.8333333333,218.455952381,123.938095238,126.033333333,1.12380952381,89.6428571429
2010-11-09,-44669.8571429,56.9,218.492142857,123.985714286,126.1,1.12857142857,89.7714285714
2010-11-10,-44628.0,56.9666666667,218.528333333,124.033333333,126.166666667,1.13333333333,89.9
2010-11-11,-44586.1428571,57.0333333333,218.56452381,124.080952381,126.233333333,1.1380952381,90.0285714286
2010-11-12,-44544.2857143,57.1,218.600714286,124.128571429,126.3,1.14285714286,90.1571428571
2010-11-15,-44502.4285714,57.1666666667,218.636904762,124.176190476,126.366666667,1.14761904762,90.2857142857
2010-11-16,-44460.5714286,57.2333333333,218.673095238,124.223809524,126.433333333,1.15238095238,90.4142857143
2010-11-17,-44418.7142857,57.3,218.709285714,124.271428571,126.5,1.15714285714,90.5428571429
2010-11-18,-44376.8571429,57.3666666667,218.74547619,124.319047619,126.566666667,1.1619047619,90.6714285714
2010-11-19,-44335.0,57.4333333333,218.781666667,124.366666667,126.633333333,1.16666666667,90.8
2010-11-22,-44293.1428571,57.5,218.817857143,124.414285714,126.7,1.17142857143,90.9285714286
2010-11-23,-44251.2857143,57.5666666667,218.854047619,124.461904762,126.766666667,1.17619047619,91.0571428571
2010-11-24,-44209.4285714,57.6333333333,218.890238095,124.50952381,126.833333333,1.18095238095,91.1857142857
2010-11-25,-44167.5714286,57.7,218.926428571,124.557142857,126.9,1.18571428571,91.3142857143
2010-11-26,-44125.7142857,57.7666666667,218.962619048,124.604761905,126.966666667,1.19047619048,91.4428571429
2010-11-29,-44083.8571429,57.8333333333,218.998809524,124.652380952,127.033333333,1.19523809524,91.5714285714
2010-11-30,-44042.0,57.9,219.035,124.7,127.1,1.2,91.7
2010-12-01,-43866.173913,57.8869565217,219.059130435,124.782608696,127.191304348,1.19565217391,91.7652173913
2010-12-02,-43690.3478261,57.8739130435,219.08326087,124.865217391,127.282608696,1.19130434783,91.8304347826
2010-12-03,-43514.5217391,57.8608695652,219.107391304,124.947826087,127.373913043,1.18695652174,91.8956521739
2010-12-06,-43338.6956522,57.847826087,219.131521739,125.030434783,127.465217391,1.18260869565,91.9608695652
2010-12-07,-43162.8695652,57.8347826087,219.155652174,125.113043478,127.556521739,1.17826086957,92.0260869565
2010-12-08,-42987.0434783,57.8217391304,219.179782609,125.195652174,127.647826087,1.17391304348,92.0913043478
2010-12-09,-42811.2173913,57.8086956522,219.203913043,125.27826087,127.739130435,1.16956521739,92.1565217391
2010-12-10,-42635.3913043,57.7956521739,219.228043478,125.360869565,127.830434783,1.1652173913,92.2217391304
2010-12-13,-42459.5652174,57.7826086957,219.252173913,125.443478261,127.92173913,1.16086956522,92.2869565217
2010-12-14,-42283.7391304,57.7695652174,219.276304348,125.526086957,128.013043478,1.15652173913,92.352173913
2010-12-15,-42107.9130435,57.7565217391,219.300434783,125.608695652,128.104347826,1.15217391304,92.4173913043
